DepartmentFullName,DepartmentBeginYear,DepartmentEndYear,ConstituentID,DisplayName,PositionNote,PositionBeginYear,PositionEndYear,ConstituentType,AlphaSort,FirstName,MiddleName,LastName,Suffix,Nationality,ConstituentBeginDate,ConstituentEndDate,ArtistBio,Gender,VIAFID,WikidataID,ULANID
The Museum of Modern Art,1929,,9168,"Alfred H. Barr, Jr.",Director,1929,1943,Individual,Barr Alfred H. Jr.,Alfred,H.,Barr,Jr.,American,1902,1981,"American, 1902–1981",Male,109252853,Q711362,500241556
The Museum of Modern Art,1929,,10779,René d'Harnoncourt,Director,1949,1968,Individual,d'Harnoncourt René,René,,d'Harnoncourt,,American,1901,1968,"American, 1901–1968",Male,176768,Q7312958,500071210
The Museum of Modern Art,1929,,11389,Bates Lowry,Director,1968,1969,Individual,Lowry Bates,Bates,,Lowry,,American,1924,2004,"American, 1924–2004",Male,71883331,Q4868805,500279878
The Museum of Modern Art,1929,,,John B. Hightower,Director,1970,1972,Individual,Hightower John B.,John,Brantley,Hightower,,American,1933,2013,"American, 1933–2013",Male,65771126,Q15431531,
The Museum of Modern Art,1929,,13047,Richard E. Oldenburg,Director,1972,1994,Individual,Oldenburg Richard E.,Richard,E.,Oldenburg,,American,1933,,"American, born 1933",Male,22054670,Q7328159,
The Museum of Modern Art,1929,,30333,Glenn D. Lowry,Director,1995,,Individual,Lowry Glenn D.,Glenn,D.,Lowry,,American,1954,,"American, born 1954",Male,165457793,Q5568749,500251278
Department of Painting and Sculpture,1929,,9168,"Alfred H. Barr, Jr.",as Director of the Museum,1929,1940,Individual,Barr Alfred H. Jr.,Alfred,H.,Barr,Jr.,American,1902,1981,"American, 1902–1981",Male,109252853,Q711362,500241556
Department of Painting and Sculpture,1929,,9168,"Alfred H. Barr, Jr.",as Director of the Museum and Curator of the Department,1940,1943,Individual,Barr Alfred H. Jr.,Alfred,H.,Barr,Jr.,American,1902,1981,"American, 1902–1981",Male,109252853,Q711362,500241556
Department of Painting and Sculpture,1929,,8150,James Thrall Soby,,1943,1945,Individual,Soby James Thrall,James,,Soby,,American,1906,1979,"American, 1906–1979",Male,110085602,Q19997542,500326188
Department of Painting and Sculpture,1929,,14845,James Johnson Sweeney,,1945,1946,Individual,Sweeney James Johnson,James,Johnson,Sweeney,,American,1900,1986,"American, 1900–1986",Male,37043718,Q6136905,500258108
Department of Painting and Sculpture,1929,,19286,Dorothy C. Miller,,1946,1949,Individual,Miller Dorothy C.,Dorothy,C.,Miller,,American,1904,2003,"American, 1904–2003",Female,111290627,Q5298349,500322604
Department of Painting and Sculpture,1929,,9168,"Alfred H. Barr, Jr.",as Director of Museum Collections,1947,1967,Individual,Barr Alfred H. Jr.,Alfred,H.,Barr,Jr.,American,1902,1981,"American, 1902–1981",Male,109252853,Q711362,500241556
Department of Painting and Sculpture,1929,,46368,Andrew Carnduff Ritchie,,1949,1957,Individual,Ritchie Andrew Carnduff,Andrew,Carnduff,Ritchie,,American,1907,1978,"American, born Scotland, 1907–1978",Male,71542523,,
Department of Painting and Sculpture,1929,,9899,Peter Selz,,1958,1965,Individual,Selz Peter,Peter,,Selz,,American,1919,,"American, born Germany 1919",Male,108632298,Q2078300,
Department of Painting and Sculpture,1929,,11389,Bates Lowry,,1968,1969,Individual,Lowry Bates,Bates,,Lowry,,American,1924,2004,"American, 1924–2004",Male,71883331,,
Department of Painting and Sculpture,1929,,10244,William S. Lieberman,,1969,1971,Individual,Lieberman William S.,William,S.,Lieberman,,American,1923,2005,"American, 1923–2005",Male,109190713,Q19997602,
Department of Painting and Sculpture,1929,,13938,William S. Rubin,as Chief Curator,1969,1971,Individual,Rubin William S.,William,,Rubin,,American,1927,2006,"American, 1927–2006",Male,29540160,Q951624,
Department of Painting and Sculpture,1929,,13938,William S. Rubin,,1971,1988,Individual,Rubin William S.,William,,Rubin,,American,1927,2006,"American, 1927–2006",Male,29540160,Q951624,
Department of Painting and Sculpture,1929,,12828,Kirk Varnedoe,,1988,2001,Individual,Varnedoe Kirk,Kirk,,Varnedoe,,American,1946,2003,"American, 1946–2003",Male,108950666,Q6415540,
Department of Painting and Sculpture,1929,,13401,Kynaston McShine,,2001,2003,Individual,McShine Kynaston L.,Kynaston,,McShine,,American,1935,,"American, born Trinidad 1935",Male,12357173,,
Department of Painting and Sculpture,1929,,9295,John Elderfield,,2003,2008,Individual,Elderfield John,John,,Elderfield,,British,1943,,"British, born 1943",Male,95695332,Q6231541,500002419
Department of Painting and Sculpture,1929,,26510,Ann Temkin,,2008,,Individual,Temkin Ann,Ann,,Temkin,,American,1959,,"American, born 1959",Female,69045125,,
Department of Architecture,1932,1949,2927,Philip Johnson,,1932,1934,Individual,Johnson Philip,Philip,,Johnson,,American,1906,2005,"American, 1906–2005",Male,108419418,Q183528,500014481
Department of Architecture,1932,1949,16292,Philip L. Goodwin,as Chairman,1935,1948,Individual,Goodwin Philip L.,Philip,L.,Goodwin,,American,1885,1958,"American, 1885–1958",Male,107308378,Q21289656,500002438
Department of Architecture,1932,1949,,Janet Henrich,as Director,1941,1942,Individual,Henrich Janet,Janet,,Henrich,,,,,,Female,,,
Department of Architecture,1932,1949,44297,Elizabeth Mock,as Director,1942,1946,Individual,Mock Elizabeth,Elizabeth,,Mock,,American,1911,1998,"American, 1911–1998",Female,112800368,,
Department of Industrial Design,1940,1948,9510,Eliot Noyes,,1940,1946,Individual,Noyes Eliot,Eliot,,Noyes,,American,1910,1977,"American, 1910–1977",Male,35560716,Q827228,500032860
Department of Industrial Design,1940,1948,8773,"Edgar Kaufmann, Jr.",,1946,1949,Individual,Kaufmann Edgar Jr,Edgar,,Kaufmann,,American,1910,1989,"American, 1910–1989",Male,34608572,,
Department of Architecture and Design,1949,,2927,Philip Johnson,,1949,1954,Individual,Johnson Philip,Philip,,Johnson,,American,1906,2005,"American, 1906–2005",Male,108419418,Q183528,500014481
Department of Architecture and Design,1949,,8762,Arthur Drexler,,1956,1987,Individual,Drexler Arthur,Arthur,,Drexler,,American,1921,1987,"American, 1921–1987",Male,73926436,,
Department of Architecture and Design,1949,,23740,Stuart Wrede,,1987,1992,Individual,Wrede Stuart,Stuart,,Wrede,,American,1944,,"American, born Finland 1944",Male,12362661,,
Department of Architecture and Design,1949,,8902,Terence Riley,,1992,2006,Individual,Riley Terence,Terence,,Riley,,American,1954,,"American, born 1954",Male,,,
Department of Architecture and Design,1949,,25399,Barry Bergdoll,,2007,2013,Individual,Bergdoll Barry,Barry,,Bergdoll,,American,,,American,Male,66519280,Q4864010,
Department of Architecture and Design,1949,,49111,Martino Stierli,,2015,,Individual,Stierli Martino,Martino,,Stierli,,Swiss,1974,,"Swiss, born 1974",Male,81208454,,
Department of Film,1935,,,John E. Abbott,,1935,1945,Individual,Abbott John E.,John,E.,Abbott,,,,,,Male,,,
Department of Film,1935,,45945,Iris Barry,,1946,1951,Individual,Barry Iris,Iris,,Barry,,American,1895,1969,"American, born England, 1995–1969",Female,54242106,Q11282460,
Department of Film,1935,,,Richard Griffith,,1951,1965,Individual,Griffith Richard,Richard,,Griffith,,,,,,Male,,,
Department of Film,1935,,6078,Willard Van Dyke,,1965,1974,Individual,Van Dyke Willard,Willard,,Van Dyke,,American,1906,1986,"American, 1906–1986",Male,101099086,Q709447,500037065
Department of Film,1935,,,Ted (Edward S.) Perry,,1975,1978,Individual,Perry Ted,Edward,S.,Perry,,American,1937,,"American, born 1937",Male,24882704,,
Department of Film,1935,,26463,Mary Lea Bandy,,1979,2005,Individual,Bandy Mary Lea,Mary Lea,,Bandy,,American,1943,2014,"American, 1943–2014",Female,24878901,,
Department of Film,1935,,36766,Rajendra Roy,,2007,,Individual,Roy Rajendra,Rajendra,,Roy,,American,,,American,Male,305946109,,
Department of Photography,1940,,4283,Beaumont Newhall,as Curator,1940,1947,Individual,Newhall Beaumont,Beaumont,,Newhall,,American,1908,1993,"American, 1908–1993",Male,36929927,Q144164,500037130
Department of Photography,1940,,17961,Nancy Newhall,as Acting Curator,1942,1945,Individual,Newhall Nancy,Nancy,,Newhall,,American,1908,1974,"American, 1908–1974",Female,46830485,Q6962876,500087029
Department of Photography,1940,,,Willard D. Morgan,as Director of the Department and the Photography Center,1943,1945,Individual,Morgan Willard D.,Willard,Detering,Morgan,,American,1900,1967,"American, 1900–1967",Male,14929037,Q8003393,
Department of Photography,1940,,5623,Edward Steichen,,1947,1962,Individual,Steichen Edward,Edward,,Steichen,,American,1879,1973,"American, born Luxembourg. 1879–1973",Male,73926135,Q313899,500000431
Department of Photography,1940,,8084,John Szarkowski,,1962,1991,Individual,Szarkowski John,John,,Szarkowski,,American,1925,2007,"American, 1925–2007",Male,110959125,Q1381389,500125639
Department of Photography,1940,,18500,Peter Galassi,,1991,2011,Individual,Galassi Peter,Peter,,Galassi,,American,1951,,"American, born 1951",Male,71438918,,
Department of Photography,1940,,43400,Quentin Bajac,,2013,,Individual,Bajac Quentin,Quentin,,Bajac,,French,1965,,"French, born 1965",Male,309753948,Q3414162,
Department of Dance and Theater Design,1944,1948,,George Amberg,,1944,1948,Individual,Amberg George,George,,Amberg,,,1901,,Born 1901,Male,64918824,,
Department of Drawings and Prints,1960,1969,10244,William S. Lieberman,,1960,1969,Individual,Lieberman William S.,William,S.,Lieberman,,American,1923,2005,"American, 1923–2005",Male,109190713,Q19997602,
Department of Prints and Illustrated Books,1969,2013,18388,Riva Castleman,,1969,1995,Individual,Castleman Riva,Riva,,Castleman,,American,1930,2014,"American, 1930–2014",Female,61627489,Q18030446,
Department of Prints and Illustrated Books,1969,2013,12674,Deborah Wye,,1996,2010,Individual,Wye Deborah,Deborah,,Wye,,American,,,American,Female,64055880,,
Department of Prints and Illustrated Books,1969,2013,34080,Christophe Cherix,,2010,2013,Individual,Cherix Christophe,Christophe,,Cherix,,Swiss,1969,,"Swiss, born 1969",Male,64141067,,
Department of Drawings,1971,2013,10244,William S. Lieberman,,1971,1979,Individual,Lieberman William S.,William,S.,Lieberman,,American,1923,2005,"American, 1923–2005",Male,109190713,Q19997602,
Department of Drawings,1971,2013,9295,John Elderfield,,1980,1994,Individual,Elderfield John,John,,Elderfield,,British,1943,,"British, born 1943",Male,95695332,Q6231541,500002419
Department of Drawings,1971,2013,25395,Margit Rowell,,1994,1999,Individual,Rowell Margit,Margit,,Rowell,,,1937,,Born 1937,Female,64011385,,
Department of Drawings,1971,2013,24435,Gary Garrels,,2000,2005,Individual,Garrels Gary,Gary,,Garrels,,American,1957,,"American, born 1957",Male,267058078,,
Department of Drawings,1971,2013,30627,Cornelia Butler,,2006,2013,Individual,Butler Cornelia,Cornelia,,Butler,,American,1963,,"American, born 1963",Female,117218591,Q5171153,
Chief Curator at Large,1993,,9295,John Elderfield,,1993,2003,Individual,Elderfield John,John,,Elderfield,,British,1943,,"British, born 1943",Male,95695332,Q6231541,500002419
Chief Curator at Large,1993,,13401,Kynaston McShine,,2003,2009,Individual,McShine Kynaston L.,Kynaston,,McShine,,American,1935,,"American, born Trinidad 1935",Male,12357173,,
Chief Curator at Large,1993,,27569,Klaus Biesenbach,,2009,,Individual,Biesenbach Klaus,Klaus,,Biesenbach,,German,1967,,"German, born 1967",Male,81316572,Q87928,
Department of Media and Performance Art,2006,,27569,Klaus Biesenbach,,2006,2009,Individual,Biesenbach Klaus,Klaus,,Biesenbach,,German,1967,,"German, born 1967",Male,81316572,Q87928,
Department of Media and Performance Art,2006,,38727,Sabine Breitwieser,,2010,2013,Individual,Breitwieser Sabine,Sabine,,Breitwieser,,Austrian,1962,,"Austrian, born 1962",Female,20910556,Q1613081,
Department of Media and Performance Art,2006,,46188,Stuart Comer,,2013,,Individual,Comer Stuart,Stuart,,Comer,,American,,,American,Male,121118657,Q22277405,
Department of Drawings and Prints,2013,,34080,Christophe Cherix,,2013,,Individual,Cherix Christophe,Christophe,,Cherix,,Swiss,1969,,"Swiss, born 1969",Male,64141067,,